简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
4582,贺想,男,23,18582183831,yanxiong71@qq.com,全栈开发工程师,本科,普通高校,非计算机类,英语六级,"Python,JavaScript","精通,掌握","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,精通,掌握,精通,熟练","Spring Boot,Django/Flask","掌握,精通","MySQL,PostgreSQL,MongoDB","精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
4583,林岩,男,23,18070554978,limeng80@gmail.com,后端开发工程师,本科,普通高校,计算机类,无,"Python,SQL","熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","熟练,熟练,熟练,掌握","MySQL,PostgreSQL,MongoDB","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,13,0,0,不通过
4584,朴健,男,33,13399707226,juancheng@hotmail.com,后端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,JavaScript,SQL","精通,熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js","熟练,精通,熟练,了解","MySQL,PostgreSQL","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,12,8,2,通过
4585,苏兰,女,21,17608435376,xiacheng2@outlook.com,前端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript,Go","熟练,掌握,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","掌握,精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4586,李建华,男,22,17611392836,xiulanma323@163.com,运维工程师,本科,普通高校,计算机类,英语六级,"Python,Java,SQL","熟练,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible,Terraform","精通,掌握,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4587,曹超,男,33,15220509990,weicai1521@yahoo.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,掌握,精通,掌握,精通","HTML/CSS,React/Vue,Webpack,TypeScript","精通,精通,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,8,0,0,通过
4588,彭帆,男,33,18115552727,weikong@163.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","掌握,掌握,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,0,4,2,通过
4589,徐鹏,男,27,15332612140,gangzheng@gmail.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,精通,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,2,6,1,通过
4590,袁宇,男,38,13361902856,weiqiao730@gmail.com,云计算工程师,专科,普通高校,非计算机类,英语四级,"Java,JavaScript","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","掌握,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,1,0,0,通过
4591,刘飞,男,23,15344463270,mingfang@outlook.com,算法工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","掌握,熟练,了解",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
4592,李杨,男,23,18522813679,xiameng34@126.com,前端开发工程师,本科,211高校,计算机类,无,"Java,JavaScript","熟练,精通","HTML/CSS,React/Vue,TypeScript","精通,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,4,0,0,通过
4593,朱利,男,26,13692895614,minpeng058@126.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript","精通,熟练","HTML/CSS,React/Vue","掌握,掌握","Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","精通,精通,了解,掌握","MongoDB,Redis","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,1―3年,1―3年,4,0,0,通过
4594,李雷,男,23,13194874296,xiahou4055@qq.com,云计算工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Ansible,Terraform","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,9,0,0,通过
4595,王洁,女,32,17795977330,qianggao3637@126.com,前端开发工程师,本科,普通高校,计算机类,无,"Python,Java,JavaScript","掌握,熟练,精通","HTML/CSS,React/Vue","精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,13,0,1,通过
4596,王利,男,24,18527377124,leiwei1311@hotmail.com,算法工程师,本科,普通高校,计算机类,英语四级,"Python,Java","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,11,4,0,不通过
4597,梁伟,男,22,13531099586,yanzeng541@outlook.com,云计算工程师,专科,普通高校,计算机类,无,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,通过
4598,滕志强,男,22,15988372705,litian8@qq.com,算法工程师,专科,普通高校,非计算机类,无,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","掌握,了解",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,不通过
4599,张岩,男,23,18670183689,weiwei41@gmail.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Java,JavaScript,SQL,Go","熟练,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","掌握,熟练,熟练",NULL,NULL,NULL,1,0,0,不通过
4600,李彬,男,22,15813187366,yongcui4797@126.com,前端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript","掌握,精通","HTML/CSS,React/Vue,Redux/Vuex","精通,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,通过
4601,孟杨,男,38,13315408253,guiyingxiong2438@163.com,移动开发工程师,本科,普通高校,计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","掌握,熟练,精通",NULL,NULL,5年以上,NULL,NULL,4,6,2,通过
4602,蔡成,男,22,18627827459,weizhou904@hotmail.com,数据工程师,专科,普通高校,计算机类,英语四级,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,熟练,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,9,0,0,不通过
4603,盛波,男,38,13161716480,taozhang670@qq.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java,SQL","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,了解,熟练",5年以上,NULL,NULL,2,0,0,通过
4604,朱林,男,23,18123340679,yangwan@126.com,数据工程师,本科,211高校,非计算机类,英语四级,"Java,JavaScript,SQL,Go","精通,了解,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,熟练,熟练",NULL,NULL,Hadoop/Spark,熟练,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
4605,刘欢,男,21,17832764295,yanding9@163.com,全栈开发工程师,专科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","熟练,熟练,掌握","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,精通,掌握,熟练,掌握","Spring Boot,Django/Flask,RESTful API,Node.js","熟练,精通,了解,了解","MySQL,MongoDB","掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4606,徐燕,女,22,13760436994,gangdu150@qq.com,算法工程师,本科,普通高校,非计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
4607,张建平,男,21,18199501356,xiulanma2@hotmail.com,数据分析师,专科,普通高校,非计算机类,英语六级,"Java,JavaScript,SQL,Go","精通,熟练,精通,精通",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,了解,熟练,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4608,徐刚,男,22,15151733768,mingao2250@hotmail.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,了解,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,熟练,熟练",NULL,NULL,NULL,0,0,0,不通过
4609,梁楠,男,23,13046636780,mingwen9@gmail.com,运维工程师,本科,211高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,通过
4610,周帆,男,23,17678099035,gangtang94@gmail.com,移动开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,精通,熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","掌握,掌握,熟练",NULL,NULL,1―3年,NULL,NULL,11,0,0,通过
4611,王英,女,21,13790941782,chaoma9942@yahoo.com,算法工程师,专科,普通高校,非计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","精通,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
4612,尹佳,男,30,18174953511,chaotang0@hotmail.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL","掌握,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,精通,熟练,了解",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","掌握,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,6,1,0,通过
4613,李勇,男,23,18115722834,juanyang706@gmail.com,云计算工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","精通,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,11,0,0,通过
4614,劳建,男,22,18905901352,jiezou@yahoo.com,前端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript","掌握,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","精通,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,不通过
4615,彭秀,女,28,18041924865,nalei2111@gmail.com,后端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,掌握,掌握,精通,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","熟练,掌握,熟练,熟练",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,0,0,2,通过
4616,信刚,男,22,18090724068,jingyi87@outlook.com,算法工程师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL","掌握,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,精通,掌握,精通",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,7,0,0,通过
4617,白晨,男,22,15279230261,jieqiao@hotmail.com,数据分析师,专科,普通高校,计算机类,无,"Python,JavaScript,SQL","熟练,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,12,0,0,通过
4618,彭雷,男,22,13355821439,qianghe80@hotmail.com,数据工程师,专科,普通高校,计算机类,英语六级,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"Hadoop/Spark,Tableau/Power BI/FineBI","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,0,通过
4619,王杨,男,32,17772475091,yanzheng@gmail.com,云计算工程师,专科,普通高校,计算机类,英语四级,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,熟练,熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,1,8,0,通过
4620,刘建,男,22,15312776713,juanwang8@yahoo.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,熟练,熟练,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,13,0,0,不通过
4621,傅亮,男,28,17623957828,weijia7@gmail.com,数据工程师,本科,普通高校,计算机类,英语六级,"Python,Java,SQL","掌握,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","精通,精通,熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","熟练,精通,掌握",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,9,2,1,通过
4622,蔡阳,男,23,18187761108,weixiong545@126.com,前端开发工程师,本科,普通高校,计算机类,英语六级,"Java,JavaScript,Go","掌握,熟练,熟练","HTML/CSS,React/Vue","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,8,0,0,通过
4623,陈静,女,21,15556949533,xiuyingwang@qq.com,全栈开发工程师,专科,普通高校,计算机类,英语四级,"Python,JavaScript","精通,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,熟练,掌握,精通,熟练","Spring Boot,Django/Flask,RESTful API","熟练,精通,掌握",PostgreSQL,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
4624,董宁,男,21,18098097838,xiuyingwan8@163.com,运维工程师,专科,普通高校,非计算机类,英语六级,"Java,JavaScript,SQL","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux","了解,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4625,刘博,男,34,13966697399,yangwen6648@outlook.com,移动开发工程师,本科,普通高校,计算机类,英语四级,"Python,SQL,Go","精通,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,熟练,掌握",NULL,NULL,5年以上,NULL,3―5年,12,0,0,通过
4626,邓丽,女,22,15835771742,gangsun@outlook.com,云计算工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL","熟练,了解,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,熟练,了解,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4627,李帅,男,21,15785997321,xiulanwei26@163.com,云计算工程师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,熟练,了解,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4628,查瑞,男,22,18182466312,xiaxia203@163.com,移动开发工程师,本科,普通高校,计算机类,无,"Java,SQL,Go","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4629,张艳,女,23,13349962147,chaoshen@yahoo.com,移动开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,了解,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,熟练",NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
4630,朱刚,男,22,18512061931,jielong4707@yahoo.com,前端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript","熟练,熟练,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","精通,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0,0,通过
4631,薛军,男,21,17640486615,leizhang66@gmail.com,云计算工程师,专科,普通高校,计算机类,无,"Python,Java,SQL,Go","掌握,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","精通,精通,熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4632,陈斌,男,22,15025476643,gangzhang0004@163.com,移动开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","熟练,了解,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","掌握,精通",NULL,NULL,1―3年,NULL,NULL,0,0,0,不通过
4633,王艳,女,21,18981579411,guiyingyan@qq.com,运维工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","掌握,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4634,王桂香,女,39,13288074979,fangye1115@outlook.com,算法工程师,本科,普通高校,计算机类,英语六级,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","精通,熟练,了解,掌握",NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,7,1,2,通过
4635,周俊,男,28,18324578010,xiaqiu@outlook.com,前端开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,掌握,掌握","HTML/CSS,React/Vue,Webpack","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,3,0,0,不通过
4636,郑超,男,22,18356440708,xiafan411@yahoo.com,数据分析师,本科,普通高校,计算机类,英语四级,"Java,SQL,Go","熟练,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4637,郑欢,男,26,15261322699,jingyao3@gmail.com,全栈开发工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,Go","掌握,熟练,掌握,精通","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","掌握,精通,掌握,掌握","Spring Boot,Django/Flask,Kafka/RabbitMQ","精通,熟练,熟练","MySQL,MongoDB,Redis","熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,1―3年,NULL,2,4,0,通过
4638,李博,男,23,15882242508,junmo9@gmail.com,数据工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,SQL,Go","精通,掌握,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,掌握,熟练,掌握",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,精通",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,13,0,0,通过
4639,刘凯,男,22,18764148775,mingliu9@outlook.com,算法工程师,专科,普通高校,计算机类,无,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","掌握,精通,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
4640,崔玉,女,31,17849580655,nafang@gmail.com,后端开发工程师,专科,普通高校,计算机类,英语四级,Java,掌握,NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,掌握,掌握,熟练,掌握",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,12,5,0,不通过
4641,刘桂兰,女,34,18115301886,xiuyingcui0@gmail.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","熟练,掌握,精通,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,精通,掌握,熟练,了解","Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","熟练,掌握,熟练,掌握",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,9,1,0,不通过
4642,陈莉,女,30,17717145949,chaosu394@126.com,算法工程师,本科,普通高校,计算机类,英语四级,"Java,SQL,Go","精通,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","熟练,精通,掌握",NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,8,7,0,通过
4643,李明,男,29,18968286584,lixiao@outlook.com,全栈开发工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,熟练,掌握","HTML/CSS,React/Vue","掌握,精通","Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,熟练,熟练,熟练","MySQL,PostgreSQL","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,8,6,0,通过
4644,刘飞,男,22,18587923575,guiyingshao442@126.com,数据工程师,本科,普通高校,非计算机类,英语六级,"Python,SQL","精通,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,掌握",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","了解,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4645,周楠,男,27,17842910581,qiangxue805@yahoo.com,数据工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","熟练,精通,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,8,0,0,通过
4646,李建平,男,21,15512211620,chaoshi@gmail.com,算法工程师,专科,普通高校,非计算机类,无,"Python,JavaScript,SQL","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","了解,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4647,谷雪梅,女,22,18671774602,xiaxiang1@163.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","掌握,精通,了解,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,了解,精通",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
4648,殷建,男,27,18988223217,chaoyin1454@gmail.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,JavaScript","掌握,熟练","HTML/CSS,React/Vue","掌握,熟练","Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,了解,熟练,掌握","MySQL,PostgreSQL","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,14,1,0,不通过
4649,蔡宇,男,21,17713287587,qiangliao2@outlook.com,后端开发工程师,专科,普通高校,计算机类,无,Python,熟练,NULL,NULL,"Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","熟练,熟练,了解,熟练","MySQL,MongoDB,Redis","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
4650,胡秀梅,女,38,15116487626,juanlong371@163.com,全栈开发工程师,专科,普通高校,计算机类,英语四级,"Python,JavaScript","熟练,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","掌握,掌握,熟练,熟练","Spring Boot,Django/Flask","掌握,掌握","MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,13,1,2,通过
